dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID
spectrum,3,JWST,jw01215-o014_s01728_nirspec_f170lp-g235h,WIDE2033,34.29951333,-5.228866667,60176.26533,60176.35006,1604.778,INFRARED,F170LP;G235H,1660,5000,,NIRSpec WIDE MOS Survey - UDS,60542.89775,NIRSPEC/MSA,"Luetzgendorf, Nora",1215,GTO,JWST,-999,CALJWST,POLYGON 34.269366548 -5.261189378 34.26981891 -5.261189378 34.26981891 -5.261896356 34.269366548 -5.261896356,mast:JWST/product/jw01215-o014_s01728_nirspec_f170lp-g235h_cal.jpg,mast:JWST/product/jw01215-o014_s01728_nirspec_f170lp-g235h_s2d.fits,EXCLUSIVE_ACCESS,False,NaN,science,169675036,563600828
image,2,JWST,jw03990557001_02201_00003_nrcblong,UNKNOWN,217.5271021,12.14122189,60504.18508,60504.19751,1052.203,INFRARED,F277W,2416,3127,,A NIRCam Pure-Parallel Imaging Survey of Galaxies Across the Universe,60504.68503,NIRCAM/IMAGE,"Morishita, Takahiro",3990,GO,JWST,-999,CALJWST,POLYGON 217.518285356 12.16526857 217.551410775 12.149719067 217.53618766 12.11754247 217.502439412 12.132417517,mast:JWST/product/jw03990557001_02201_00003_nrcblong_cal.jpg,mast:JWST/product/jw03990557001_02201_00003_nrcblong_cal.fits,PUBLIC,False,NaN,science,219394715,555286222
spectrum,3,JWST,jw02738-o004_s02364_niriss_f200w-gr150r,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59996.32809,59996.55802,687.153,INFRARED,GR150R;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,60361.79329,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-o004_s02364_niriss_f200w-gr150r_cal.jpg,mast:JWST/product/jw02738-o004_s02364_niriss_f200w-gr150r_x1d.fits,PUBLIC,False,NaN,science,220526253,560906549
spectrum,3,JWST,jw01180-o029_s00019_nirspec_f170lp-g235m,GS-MEDIUM-HST,53.15372125,-27.78036944,59861.37064,59861.70757,3063.666,Infrared,F170LP;G235M,1660,5000,,NIRCam-NIRSpec galaxy assembly survey - GOODS-S - part #1athen,60227.03569,NIRSPEC/MSA,"Eisenstein, Daniel J.",1180,GTO,JWST,-999,CALJWST,POLYGON 53.20890996 -27.80953236 53.209865452 -27.80953236 53.209865452 -27.809578066 53.20890996 -27.809578066,mast:JWST/product/jw01180-o029_s00019_nirspec_f170lp-g235m_cal.jpg,mast:JWST/product/jw01180-o029_s00019_nirspec_f170lp-g235m_s2d.fits,PUBLIC,False,NaN,science,183655501,427599171
spectrum,3,JWST,jw02738-o004_s02584_niriss_f200w-gr150r,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59996.32809,59996.55802,687.153,INFRARED,GR150R;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,60361.79329,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-o004_s02584_niriss_f200w-gr150r_cal.jpg,mast:JWST/product/jw02738-o004_s02584_niriss_f200w-gr150r_x1d.fits,PUBLIC,False,NaN,science,220526835,560905985
spectrum,3,JWST,jw03538-o002_s00082_nircam_f460m-grismr,A370,39.97931958,-1.600719444,60300.72347,60300.78786,880.415,INFRARED,F460M;GRISMR,4515,4747,Clusters of Galaxies; Abell clusters,Unveiling the properties of high-redshift low/intermediate-mass galaxies in Lensing fields with NIRCam Wide Field Slitless Spectroscopy,60301.31854,NIRCAM/GRISM,"Iani, Edoardo",3538,GO,JWST,-999,CALJWST,POLYGON 39.99749628 -1.61889436 39.96115678 -1.61869714 39.96157393 -1.58274992 39.99706246 -1.58268604 39.99749628 -1.61889436,mast:JWST/product/jw03538-o002_s00082_nircam_f460m-grismr_cal.jpg,mast:JWST/product/jw03538-o002_s00082_nircam_f460m-grismr_x1d.fits,PUBLIC,False,NaN,science,213007115,563980828
spectrum,3,JWST,jw01181-o005_s70530_nirspec_clear-prism,1181-MERGED-APT-CLEAN-CLEAN,189.1338629,62.26666111,59980.31592,59980.63591,6127.332,Infrared,CLEAR;PRISM,600,5300,,NIRCam-NIRSpec galaxy assembly survey - GOODS-N,60345.9941,NIRSPEC/MSA,"Eisenstein, Daniel J.",1181,GTO,JWST,-999,CALJWST,POLYGON 189.078703641 62.257797792 189.079316561 62.257797792 189.079316561 62.256999173 189.078703641 62.256999173,mast:JWST/product/jw01181-o005_s70530_nirspec_clear-prism_cal.jpg,mast:JWST/product/jw01181-o005_s70530_nirspec_clear-prism_s2d.fits,PUBLIC,False,NaN,science,127028997,427864530
image,2,JWST,jw01538065001_02105_00002_nis,P177D,239.8065016,47.61165182,60056.21121,60056.21125,3.38,INFRARED,GR150R;F115W,800,2200,Star; G dwarfs,Absolute Flux Calibration (G Dwarfs),60057.07293,NIRISS/WFSS,"Gordon, Karl D.",1538,CAL,JWST,-999,CALJWST,POLYGON 239.816778129 47.624495994 239.819658469 47.623229479 239.789229249 47.591977677 239.786346115 47.593240517,mast:JWST/product/jw01538065001_02105_00002_nis_trapsfilled.jpg,mast:JWST/product/jw01538065001_02105_00002_nis_rateints.fits,PUBLIC,False,NaN,science,128911288,450024647
spectrum,3,JWST,jw01180-o025_s47034_nirspec_f070lp-g140m,GS-MEDIUM-HST,53.15372125,-27.78036944,59859.46621,59859.76516,3063.666,Infrared,F070LP;G140M,700,5000,,NIRCam-NIRSpec galaxy assembly survey - GOODS-S - part #1athen,60225.12631,NIRSPEC/MSA,"Eisenstein, Daniel J.",1180,GTO,JWST,-999,CALJWST,POLYGON 53.100319251 -27.721502682 53.101277096 -27.721502682 53.101277096 -27.721557533 53.100319251 -27.721557533,mast:JWST/product/jw01180-o025_s47034_nirspec_f070lp-g140m_cal.jpg,mast:JWST/product/jw01180-o025_s47034_nirspec_f070lp-g140m_s2d.fits,PUBLIC,False,NaN,science,182493027,427848716
spectrum,3,JWST,jw03538-o008_s00601_nircam_f410m-grismr,A2744,3.562185417,-30.39078889,60249.34225,60249.40826,880.415,INFRARED,F410M;GRISMR,3864,4301,Clusters of Galaxies; Abell clusters,Unveiling the properties of high-redshift low/intermediate-mass galaxies in Lensing fields with NIRCam Wide Field Slitless Spectroscopy,60249.65215,NIRCAM/GRISM,"Iani, Edoardo",3538,GO,JWST,-999,CALJWST,POLYGON 3.58323366 -30.40872053 3.541179 -30.40894554 3.54162142 -30.37279561 3.58266893 -30.37284285 3.58323366 -30.40872053,mast:JWST/product/jw03538-o008_s00601_nircam_f410m-grismr_cal.jpg,mast:JWST/product/jw03538-o008_s00601_nircam_f410m-grismr_x1d.fits,PUBLIC,False,NaN,science,213006633,563974999
